Italian,English
non,not
e,And
che,that
di,from
la,there
è,is
il,the
un,a
a,to
per,for
in,in
una,a
sono,I am
mi,me
ho,I have
si,Yes
lo,the
ha,has
ma,but
ti,you
le,the
cosa,what
con,with
i,the
da,from
se,self
come,as
no,no
io,I
ci,there
questo,this
hai,you have
qui,here
bene,well
sei,six
tu,you
del,of the
me,myself
al,to the
mio,my
solo,alone
sì,Yes
tutto,everything
te,you
era,was
più,more
della,from the
gli,the
lei,she
mia,my
ne,neither
questa,this
fare,do
quando,when
perché,because
ora,Now
essere,to be
fatto,done
va,it goes
so,so
o,or
mai,never
così,Like this
chi,who
detto,said
alla,at the
tutti,all
quello,that
molto,very
oh,Oh
anche,also
dei,of the
voglio,I want
lui,he
niente,nothing
stato,state
sta,is
grazie,thank you
dove,where is it
abbiamo,we have
tuo,your
nel,In the
posso,I can
allora,so
siamo,are
uno,one
fa,does
vuoi,do you want
hanno,they have
prima,first
noi,we
suo,his
stai,you are
tua,your
due,two
casa,home
ancora,still
sua,her
qualcosa,something
vero,real
su,on
sia,be
sai,you know
sempre,always
dire,to say
loro,they
quella,that
andiamo,here we go
andare,to go
delle,from the
altro,other
vi,you
po,bit
quel,that
li,there
ehi,Hey
devo,I must
signore,man
nella,in the
ad,to
tempo,weather
forse,maybe
certo,certain
vita,life
fuori,out
voi,you
uomo,man
sto,I'm
adesso,now
davvero,really
anni,years
cosi,as
perche,because
dio,God
poi,then
visto,view
ok,ok
via,Street
parte,part
proprio,own
puoi,can
credo,I believe
piu,more
sul,on the
beh,well
volta,time
cose,what's this
quanto,how much
ciao,Hello
nessuno,nobody
amico,friend
dopo,after
può,can
padre,father
fai,you do
vuole,wants
qualcuno,someone
posto,place
lavoro,work
meglio,better
devi,you have to
già,already
ed,and
vedere,to see
giorno,day
cazzo,cock
dai,come on
cui,which
bisogno,need
dal,from
vai,Go
ogni,every
senza,without
ce,there is
vieni,do you come
ecco,Here you are
male,bad
stata,was
troppo,too
qualche,some
signor,Mr
dobbiamo,we have to
dalla,from the
sarà,Sara
tanto,much
avete,you have
mamma,mom
ll,ll
modo,way
grande,great
tra,between
prego,You are welcome
miei,my
favore,favor
altra,other
alle,at
sa,knows
sembra,it seems
quindi,so
guarda,look
soldi,money
sulla,on the
dispiace,sorry
parlare,talk
sarebbe,would be
tre,three
ai,to the
gente,people
deve,needs to
perchè,because
dice,He says
aspetta,Wait
madre,mother
momento,moment
nuovo,new
questi,these
mondo,world
successo,success
possiamo,we can
nostro,our
piace,like it
siete,you are
forza,force
aveva,had
avere,to have
ero,was
figlio,son
dentro,inside
oggi,today
ragazzi,lads
penso,I think
accordo,agreement
facendo,doing
queste,these
é,And
fosse,it were
faccio,I do
degli,of the
giusto,right
altri,others
avanti,forward
nome,first name
avevo,I had
lì,there
farlo,to do it
donna,woman
notte,night
basta,enough
subito,immediately
tutte,all
ah,ah
tutta,all
sapere,know
signora,Mrs
testa,head
faccia,face
porta,brings
bella,beautiful
sicuro,Safe
eh,eh
senti,hear
vado,I'm going
persone,people
uomini,men
sentito,heard
nostra,our
preso,taken
merda,shit
tipo,guy
appena,just
sotto,under
idea,idea
stare,to stay
ragazzo,boy
morto,died
paura,fear
buona,good
ragazza,lass
abbia,have
avuto,had
stesso,same
erano,they were
moglie,wife
potrebbe,could be
presto,soon
suoi,its
pronto,ready
pensi,think
problema,problem
capito,understood
succede,happens
ii,II
amore,love
tuoi,your
papà,dad
volte,times
gia,already
insieme,together
tesoro,treasure
domani,tomorrow
vorrei,I would like
ragione,reason
storia,history
caso,case
volevo,I wanted
nulla,nothing
l,L
prendere,to take
okay,okay
fino,until
qua,here
trovato,found it
dici,you say
bello,Handsome
venire,come
macchina,car
nei,in the
dato,given
serve,serve
giorni,days
aver,have
terra,Earth
dico,I say
mano,but no
stiamo,we are
buon,good
vediamo,we see
famiglia,family
stanno,they are
piacere,pleasure
facciamo,we do
aiuto,Help
fratello,brother
scusa,excuse me
letto,read
secondo,second
fine,end
ciò,that is
avrei,I would have
diavolo,Devil
amici,friends
polizia,police
state,state
morte,death
piano,plan
meno,less
capisco,I understand
capo,boss
vedo,I see
stati,States
primo,first
neanche,not even
bel,nice
quale,which
là,there
strada,Street
vedi,you see
vostro,your
occhi,eyes
salve,Hello
quei,those
persona,person
quelle,those
quasi,almost
dollari,dollars
giro,round
scusi,excuse me
credi,believe
ucciso,killed
indietro,backards
acqua,water
mentre,while
sera,evening
tornare,return
contro,versus
sento,I feel
sig,Mr
avrebbe,it would have
dovuto,due
pensavo,I thought
bambino,child
film,movie
mie,my
mani,hands
abbastanza,enough
vostra,yours
bambini,children
minuti,minutes
andato,left
anno,year
cercando,looking for
col,with the
trovare,to find
finito,finished
nessun,no
tardi,late
far,make
chiama,who loves
ore,hours
guerra,war
nostri,our
stavo,I was
viene,he comes
ia,ia
prendi,take
puo,can he
veramente,truly
piccolo,small
cuore,heart
nemmeno,neither
giù,below
forte,strong
sola,alone
bravo,good boy
stasera,this evening
quelli,those
numero,number
città,city
sue,his
perso,lost
punto,point
fanno,they do
venuto,coming
felice,happy
roba,stuff
vecchio,old
uscire,go out
importa,it matters
stessa,itself
parla,speak out
scuola,school
comunque,anyway
dietro,behind
fu,was
chiesto,asked
nelle,in
lascia,leaves
spero,I hope
figlia,daughter
cinque,five
dovrebbe,should
pensato,thought
quattro,four
migliore,improve
morire,die
importante,important
donne,women
verso,towards
invece,instead
eri,you was
poco,little
marito,husband
sangue,blood
puttana,whore
potrei,I could
ricordi,memories
sara,will be
sapevo,knew
settimana,week
amo,I love
entrare,to come in
fate,you do
almeno,at least
vicino,near
dovrei,I should
pensa,thinks
capitano,captain
passato,past
dottore,doctor
colpa,guilt
possibile,possible
piedi,feet
farò,Lighthouse
piccola,small
ultima,ultimate
però,However
messo,put
dammi,give me
fatta,made
pensare,think
altre,other
dovresti,you should
sentire,hear
andata,round
ie,ie
vivere,to live
portato,carried
riesco,I can
parlando,speaking
stanza,room
auto,car
pure,mashed potato
ascolta,listens
nessuna,none
chiamato,called
telefono,phone
significa,it means
conosco,I know
parlato,spoken
tue,yours
corpo,body
dare,give
perdere,lose
serio,serious
volete,you want
culo,ass
vista,view
lasciato,left
conto,bill
mezzo,middle
ione,ion
ben,well
fossi,you were
andando,going
fuoco,fire
buongiorno,Good morning
ricordo,I remember
be,be
strano,strange
prova,trial
genere,gender
difficile,hard
sopra,over it
ieri,yesterday
john,John
mangiare,eat
re,king
stava,stood
parola,word
problemi,problems
chiamo,call
possa,may
fortuna,fortune
magari,let's hope
paese,village
gioco,game
figli,sons
s,s
potuto,could
mesi,months
qual,a
voleva,she wanted
possono,can
mr,mr
ln,ln
signorina,Miss
quanti,how many
dimmi,tell me
farti,make yourself
jack,jack
molti,many
dicendo,saying
sorella,sister
qualsiasi,any
nuova,new
signori,gentlemen
musica,music
resto,rest
davanti,front
foto,photo
ragazze,girls
pace,peace
pare,it seems
domanda,request
mente,mind
torna,back
attimo,moment
tieni,keep
dica,say
dovremmo,we should
finita,finite
sacco,sack
paio,pair
senso,sense
verità,truth
capire,understand
cio,that is
pistola,pistol
lavorare,to work
dalle,give her
cane,dog
fra,between
stia,stia
vogliono,they want
attenzione,Attention
festa,party
andate,go
agli,to
vada,go
farmi,do
fantastico,fantastic
saranno,they will be
affari,business
bere,drinking
unica,unique
vede,see
dicono,they say
aria,air
buono,good
unico,one of a kind
presidente,president
passare,pass
papa,Dad
cielo,sky
spiace,sorry
agente,agent
coraggio,courage
fammi,do for me
squadra,squad
cara,Dear
luce,light
ufficio,office
sapete,You know
dormire,sleep
avessi,I had
divertente,fun
capisci,Do you understand
smettila,stop that
new,new
facile,easy
controllo,check
esatto,exact
potete,you can
lungo,long
giovane,young
generale,general
parole,words
sappiamo,we know
ultimo,last
entra,come in
cristo,Christ
probabilmente,probably
faremo,we will do
gran,great
morti,dead
morta,dead
siano,they are
vogliamo,we want
fatti,facts
cena,dinner
hey,hey
uccidere,kill
farà,will make
avevi,you had
credere,to believe
nostre,our
voce,voice
sulle,on
arrivato,arrived
cerca,near
molte,many
attento,careful
scritto,written
pronti,ready
libro,book
sarei,I would be
sui,on
cura,treatment
voglia,wants
chiedo,ask
vuol,vuol
pazzo,crazy
tratta,deals with
ordine,order
esattamente,exactly
lontano,distant
perfetto,perfect
dieci,ten
potresti,could
finché,as long as
caro,expensive
cercare,search for
stupido,stupid
conosci,you know
passo,step
sbagliato,wrong
sicura,safe
arrivo,I arrive
alcuni,some
parli,you speak
farai,do
chiaro,clear
arrivare,arrive
sarai,you will be
prendo,I take
prossima,next
motivo,reason
credevo,I thought
restare,to remain
stronzo,asshole
né,neither
sarò,I will be
chiami,who do you Love
avresti,you would have
campo,field
arriva,he arrives
aspettare,wait
viaggio,voyage
minuto,minute
eravamo,we were
guardare,watch
aspetto,appearance
lasciami,leave me
dello,of the
resta,remains
fermo,stopped
diventare,become
inizio,Start
camera,room
giocare,to play
fretta,rush
ospedale,hospital
lasciare,to leave
alto,tall
idiota,idiot
continua,keep it going
mettere,put
zitto,Shut up
armi,weapons
benissimo,very good
milioni,millions
negli,in
bocca,mouth
crede,you think
bambina,girl
ricevuto,received
dottor,dottor
portare,bring
venite,Come
venga,come
causa,cause
trova,finds
metti,you put
durante,during
bastardo,Bastard
potremmo,we could
bagno,bathroom
devono,must
guardate,watch
vanno,they go
soltanto,only
onore,honor
colpo,hit
sole,Sun
bisogna,must
tornato,got back
succedendo,happening
zio,uncle
vostri,your
permesso,permit
torno,turn
voluto,desired
dovete,you have to
gruppo,group
grandi,large
situazione,situation
genitori,parents
denaro,money
lasci,leave
preoccuparti,care
settimane,weeks
venuta,coming
dirmi,tell me
york,York
piacerebbe,would like
capelli,hair
sogno,dream
chiamare,to call
giornata,day
addio,goodbye
allo,at the
odio,hate
frank,frank
the,The
futuro,future
joe,joe
disse,She said
porto,port
matrimonio,marriage
traduzione,translation
prigione,prison
do,do
oltre,beyond
sam,sam
mandato,mandate
pezzo,piece
guai,trouble
legge,law
aspetti,aspects
aereo,airplane
avesse,he had
circa,about
deciso,decided
qualunque,any
cibo,food
piuttosto,Rather
prende,takes
sicurezza,safety
guardi,look
fondo,background
scelta,choice
semplice,simple
speciale,special
brava,good
vera,real
occhio,eye
chiunque,whoever
usare,use
fame,hunger
vattene,get out
sistema,system
potere,power
brutto,ugly
tanti,many
saperlo,know
mattina,morning
vengo,I come
domande,requests
natale,Christmas
vecchia,old
mese,month
piacciono,like
nave,ship
ormai,at this point
provare,try out
cambiare,change
funziona,Works
www,www
messaggio,message
ottimo,optimal
tom,Tom
compagnia,company
prossimo,next
avvocato,lawyer
c,c
assolutamente,absolutely
buonanotte,good night
ê,And
incidente,accident
solito,usual
specie,species
glielo,it
peccato,Sin
ve,ve
pensando,think
entrambi,both of them
addosso,on
esercito,army
gentile,Kind
radio,radio
servizio,service
sette,seven
finire,to finish
avrai,you will have
veloce,rapid
spesso,often
incredibile,incredible
dirlo,tell him
tv,TV
t,t
finalmente,long last
parti,set off
tante,many
provato,tried
tizio,guy
pagare,to pay
poteva,he could
scena,scene
occhiata,look
segreto,secret
intorno,around
vederti,see you
quali,Which
grosso,big
calma,calm
vestiti,clothes
sanno,know
cavallo,horse
dirti,tell you
carino,cute
centro,center
conosce,knows
santo,holy
doveva,where you go
chiave,key
fallo,just do it
dí,from
amica,friend
michael,Michael
avrà,will have
pieno,full
sesso,sex
libero,free
grado,grade
freddo,cold
dimenticato,forgotten
arrivederci,until we meet again
ritardo,delay
poter,be able
andrà,will go
sinistra,left
giuro,I swear
oro,gold
scoperto,discovery
america,America
faceva,did
faro,Lighthouse
cervello,brain
otto,eight
treno,train
david,david
cercato,looked for
mare,sea
apri,you open
intenzione,intention
nello,in
tempi,time
completamente,completely
avevano,they had
fermi,stopped
servono,serve
terribile,terrible
ricorda,remember
lettera,letter
scusate,excuse me
trovo,I find
silenzio,silence
caffè,coffee
scusami,excuse me
rapporto,relationship
sente,feel
arrivando,arriving
nero,black
d,d
anima,soul
j,j
aiutare,to help
consiglio,Advice
interessa,interest
rispetto,respect
chiedere,ask
maestro,master
laggiù,over there
saremo,We will be
destra,right
mille,one thousand
saputo,known
pronta,ready
partita,match
quante,how much it is
diritto,right
cambiato,changed
dovevo,I had to
realtà,reality
peggio,worse
stanotte,tonight
omicidio,homocide
linea,line
tranquillo,calm
siediti,sit down
diverso,different
alcune,someone
governo,government
impossibile,impossible
accidenti,damn
tenente,lieutenant
dolore,ache
fronte,forehead
farci,make us
sorpresa,surprise
ferma,stop
citta,city
risposta,answer
duro,hard
prove,proof
guardia,guard
normale,normal
aspettando,waiting for
uh,uh
pubblico,public
vengono,they come
vestito,dress
base,base
chiamata,call
porti,ports
miss,Miss
sapeva,He knew
soli,sole
vale,vale
dagli,by
paul,paul
direi,I'd say
luogo,place
incontro,encounter
personale,personal
chiuso,Closed
tenere,to hold
manca,is missing
comandante,commander
charlie,Charlie
sparato,shot
ordini,orders
fin,fin
cavolo,cabbage
presa,socket
san,san
volevi,you wanted
sergente,sergeant
altrimenti,otherwise
conosciuto,known
george,George
colonnello,colonel
posizione,position
dolce,sweet
diceva,he said
vinto,won
zona,area
caccia,hunting
migliori,best
birra,beer
vive,lives
pezzi,pieces
uniti,united
aspettate,expect
dà,from
errore,error
semplicemente,simply
interessante,Interesting
riguardo,about
medico,doctor
esiste,exists
maggiore,greater
avevamo,we had
potevo,I could
gamba,leg
harry,Harry
peter,peter
wow,wow
immagino,I imagine
nonna,Grandmother
n,n
possibilità,possibility
inglese,English
trovi,find
usa,use
sembrava,It seemed
chiudi,close
nonno,not no
seconda,second
attraverso,through
scappare,to run away
gesù,Jesus
caldo,heat
continuare,to continue
simile,similar
oddio,oh God
parlo,I speak
proposito,purpose
volo,fly
programma,program
vostre,yours
net,net
naturalmente,naturally
riesci,are able
saresti,would you be
esempio,example
notizie,news
verrà,it will come
controllare,check
missione,mission
questione,question
secondi,seconds
entro,within
giu,below
rimanere,to remain
eccolo,there he is
carne,meat
luna,moon
assassino,killer
mike,mike
appuntamento,appointment
forma,form
chiesa,church
passa,pass
rimasto,remained
poliziotto,police officer
compleanno,birthday
affare,deal
passi,steps
pena,penalty
rumore,noise
promesso,promised
nord,north
lavora,work
esserci,us
sembri,you look
arma,weapon
studio,study
oppure,or
spettacolo,show
giusta,right
salute,health
perciò,therefore
arrivati,arrive
contento,happy
fermati,stopped
pranzo,lunch
barca,boat
stessi,themselves
bianco,White
colpito,hit it
coi,with
rosso,Red
uscita,exit
dia,dia
umano,human
calmati,take it easy
maledizione,curse
partire,leave
palle,ball
scarpe,shoes
carta,paper
ascoltami,listen to me
sud,south
de,de
informazioni,information
braccio,arm
schifo,disgust
leggere,to read
certamente,Certainly
m,m
bar,bar
attacco,attack
benvenuto,welcome
regalo,gift
stronzate,bullshit
mostro,monster
andati,went
scrivere,to write
necessario,necessary
brutta,ugly
scherzando,jokingly
intendo,I mean
bellissima,beautiful
corso,course
canzone,song
insomma,In short
fossero,they were
pericolo,danger
cioè,that is
rubato,stolen
spalle,shoulders
lunga,long
dura,tough
figliolo,son
carina,nice
banca,Bank
dite,of you
vaffanculo,fuck
bob,bob
sogni,dreams
classe,class
vivi,alive
soldato,soldier
jimmy,jimmy
potrebbero,they might
scommetto,I bet
negozio,shop
adoro,I adore
mica,not
spazio,space
piena,full
sappia,knock
fottuto,fucking
dirò,I will say
james,james
comprare,to buy
scelto,choice
pochi,few
regole,rules
metri,meters
dunque,so
muoviti,move
sala,room
pianeta,planet
aiuti,aid
pericoloso,dangerous
tocca,tap
dannazione,damn
contatto,contact
vedrai,you will see
gambe,legs
lavori,works
affatto,at all
bomba,bomb
anna,Anna
sbrigati,hurry up
metà,half
pelle,skin
johnny,johnny
bill,bill
appartamento,apartment
occasione,occasion
triste,sad
cucina,kitchen
combattere,fight
principe,prince
belle,beautiful
nemico,enemy
sposato,married
ovunque,everywhere
stavi,you were
direttore,director
stupida,stupid
cattivo,bad
jim,jim
pomeriggio,afternoon
conoscere,know
avremo,we'll have
parliamo,let's talk
palla,ball
reale,real
prometto,I promise
nove,nine
borsa,bag
buonasera,good evening
fratelli,siblings
sicuramente,surely
tale,such
spirito,spirit
sceriffo,sheriff
ama,loves
dl,dl
fiume,River
destino,destiny
aiutami,help me
viva,Viva
soldati,soldiers
cerco,I look for
visita,visit
ritorno,return
riuscito,succeeded
salvare,to save
animali,animals
diventato,become
povero,poor man
alzati,get up
usato,used
sparare,shoot
mangia,it eats
senta,senta
venuti,coming
parigi,Paris
mary,mary
maria,Mary
passaggio,ride
henry,henry
intero,entire
libri,books
piangere,cry
dovrai,you will have to
b,b
capisce,understand
salvato,saved
ovviamente,obviously
iniziato,started
lista,list
rotto,Broken
sentite,heard
aperto,open
uscito,released
posti,places
codice,code
lingua,language
ricerca,Research
speranza,hope
preoccupare,worry
max,max
vino,wine
ufficiale,official
farebbe,would do
differenza,difference
hotel,hotel
nato,born
finestra,window
molta,a lot
saltare,jump
avremmo,we would have
prenda,take
regina,Queen
ballo,dance
computer,computer
torni,lathes
verita,truth
costa,it costs
pagato,paid
digli,say to Him
droga,drug
pesce,fish
guardando,watching
quegli,those
livello,level
arrivata,arrived
lato,side
buone,good
avrebbero,they would
società,society
vecchi,old
farsi,make oneself
lasciate,leave
diciamo,let's say
vento,wind
serata,evening
esci,go out
r,r
libera,free
alta,high
imparato,learned
ami,do you love
temo,fear
popolo,people
star,star
londra,London
americano,American
ridere,laugh
bellissimo,very beautiful
scorsa,last
tavolo,table
professore,professor
vederlo,see him
sezione,section
naso,nose
pero,However
averlo,have it
andremo,we will go
ultimi,last
notizia,news
lascio,leave
dovrebbero,they should
alcun,any
certa,certain
comprato,bought
seguito,following
frega,scrub
imparare,learn
bordo,edge
intera,whole
ponte,bridge
incontrato,encountered
natura,nature
qualcun,someone
danno,damage
farei,I would do
corri,run
torniamo,we return
intelligente,intelligent
cominciare,begin
sí,Yes
riguarda,it concerns
rende,renders
cliente,customer
immediatamente,immediately
blu,blue
bobby,bobby
ballare,to dance
biglietto,ticket
correre,run
aprire,to open
età,age
giudice,judge
taxi,Taxi
lavorato,worked
guida,guide
alex,Alex
stazione,station
francese,French
ray,ray
razza,race
energia,power
vorrebbe,he would
casino,casino
riesce,succeed
stesse,themed
americani,American
eroe,hero
inutile,useless
spada,spade
nuovi,new
muro,Wall
sapevi,You knew
gay,gay
ehm,ehm
cambio,exchange
interno,internal
realta,reality
cani,dogs
avrò,I will have
decisione,decision
isola,Island
fiori,flowers
scoprire,discover
libertà,freedom
giovani,Young people
accanto,next to
fortunato,lucky
umani,humans
stamattina,This morning
faranno,will
dott,dott
danny,danny
trovata,found
metto,put
detective,detective
ferito,injured
bianca,White
padrone,master
andrò,I will go
segnale,signal
aiutarti,help you
stavamo,we were
farla,make it
battaglia,battle
seduto,sitting
cominciato,started
chiavi,keys
piccoli,little ones
corsa,race
scherzo,joke
effetti,effect
cinema,cinema
denti,teeth
lezione,lesson
stanco,tired out
chiedi,ask
prezzo,price
meraviglioso,marvelous
segno,sign
jake,jake
finche,as long as
darmi,give me
guardami,watch me
íl,the
fece,made
odore,odor
ex,former
don,Don
strana,strange
paga,pay
cavalli,horses
grave,serious
comincia,it starts
presente,present
processo,process
comune,common
club,club
collo,neck
ioni,ion
documenti,papers
difesa,defence
iniziare,to start
mangiato,ate
miglior,better
sissignore,sir
terzo,third
dovevi,have
corte,court
zia,aunt
intendi,you mean
tanta,tanta
carte,cards
sarebbero,they would be
buoni,good
prendete,take
vedete,see
villaggio,village
eddie,eddie
mette,put
colore,color
vederla,see her
ascolti,you listen
nick,nick
data,date
buio,dark
billy,Billy
tommy,Tommy
storie,stories
enorme,huge
esperienza,experience
cerchi,rims
opera,Opera
vincere,win
pazza,crazy
massimo,maximum
los,los
memoria,memory
lavorando,working
farcela,do it
steve,steve
porca,slut
persino,even
ognuno,each one
arte,art
suppongo,I presume
aiutarmi,help me
parlarti,talk to you
potrà,can
suono,sound
fede,faith
matto,crazy
chiamano,they call
attenti,attentive
pensate,think
rispondere,reply
soprattutto,above all
verde,green
maledetto,damn you
diventa,it becomes
azione,action
scendere,descend
tony,tony
dovere,duty
ringrazio,I thank
infatti,indeed
bacio,kiss
italianshare,Italianshare
vorresti,would you
saro,I will be
congratulazioni,congratulations
prendiamo,we take
fara,will make
latte,milk
darti,give you
uso,use
fiducia,confidence
rispondi,reply
and,and
smettere,stop
responsabile,responsible
entrato,entered
leggi,read
malato,ill
vicini,neighbors
periodo,period
tira,pull
albero,tree
nomi,names
partito,match
orribile,horrible
test,test
fila,line
pressione,pressure
suona,it sounds
ottima,Great
locale,local
colazione,Breakfast
stelle,star
chiusa,closed
visti,seen
messa,mass
maggior,greatest
piede,feet
farle,make them
cioe,that is
gesu,Jesus
progetto,project
felici,happy
sembrano,they seem
sarah,sarah
contrario,contrary
angeles,Angeles
sveglia,wakes up
stella,star
camminare,to walk
chissà,maybe
bellezza,beauty
rischio,risk
tranne,except
ra,ra
dipende,depends
dubbio,doubt
vittima,victim
sali,salts
averti,have you
abbiano,have
diversi,different
conta,count
tornata,back
lasciatemi,leave me
portata,range
dimenticare,forget
lee,Lee
calmo,calm
zitta,shut up
you,You
gatto,cat
attenta,attentive
p,p
nuove,new
scopo,purpose
nascosto,hidden away
rilassati,take it easy
luci,lights
idee,ideas
parlarne,talk about it
cellulare,cell phone
camion,truck
ristorante,restaurant
aiutarla,help
giustizia,justice
segreti,secrets
fanculo,fuck you
edificio,building
lascialo,leave him
vorrà,will want
tiro,shot
piaciuto,liked
dovremo,we will have to
principessa,Princess
capace,to be able
pensiero,thought
potesse,might
sii,Yay
braccia,arm
chiudere,to close
video,video
vite,lives
serie,series
albergo,Inn
operazione,operation
potrai,you can
rosa,pink
washington,Washington
crimine,crime
est,East
preoccupi,worries
relazione,relation
angolo,corner
salire,to go up
viso,face
sposa,wife
mossa,move
dappertutto,everywhere
tengo,keep
stampa,Press
ottenere,get
ascoltare,to listen
giornale,newspaper
incinta,pregnant
strade,road
compagno,company
andava,went
effetto,effect
chiamate,calls
robert,Robert
lassù,up there
basso,low
milione,million
coltello,knife
dati,data
contratto,contract
metta,put
paradiso,Paradise
compito,task
fucile,rifle
buco,hole
anello,ring
desiderio,wish
stavolta,this time
centrale,central
macchine,cars
altezza,height
fermare,stop
kate,kate
faresti,would you do
preferisco,I rather
estate,summer
cappello,hat
troia,slut
provi,proven
resti,remains
agenti,agents
indirizzo,address
toccare,to touch
possibilita,possibility
charles,Charles
mercato,market
autobus,bus
darò,I will give
stile,style
continui,continuous
punti,points
domattina,tomorrow morning
campione,sample
colpevole,guilty
urla,yell out
torta,cake
decidere,decide
potessi,could
ispettore,inspector
animale,animal
faccenda,affair
primi,first
rimane,remains
carriera,career
offerta,offer
notato,noted
u,u
sir,sir
poliziotti,policemen
rotta,route
scorso,last
tornate,go back
prendermi,get
aperta,open
creato,created
sembrare,to seem
maestà,majesty
vedremo,we will see
inoltre,Furthermore
it,it
finta,fake
ghiaccio,ice
lettere,letters
chiede,asks
particolare,particular
peso,weight
riunione,meeting
perfetta,perfect
certe,certain
forze,Strength
caduto,fallen
baby,baby
averla,her
andra,Andra
campagna,countryside
antonio,Antonio
tranquilla,calm
muore,die
emergenza,emergency
ridicolo,ridiculous
clienti,clients
tè,you
saremmo,we would be
sensazione,sensation
date,at your place
uccisa,killed
rose,rose
guidare,Drive
bevi,drink
dovrà,must
volare,fly
ragazzino,little boy
victor,Victor
egli,they
walter,walter
cantare,sing
will,will
martin,martin
prendendo,taking
finisce,ends
na,na
to,to
schiena,back
cadere,fall
dimmelo,tell me
naturale,natural
ubriaco,drunk
scegliere,to choose
arrivano,they arrive
umana,Human
insegnato,taught
utile,useful
eccola,here she is
porte,doors
valore,value
andartene,leave
angelo,Angel
son,son
tenga,hold
benvenuti,welcome
orologio,clock
mark,mark
cento,one hundred
bevuto,drunken
magnifico,magnificent
mentito,lie
politica,policy
palazzo,building
dave,dave
manda,send
scatola,box
domenica,Sunday
importanza,importance
anzi,rather
muoversi,move
entri,come
andrai,you will go
unità,unit
militare,military
pensano,they think
santa,santa
crederci,believe
voci,voices
girare,spin
vendere,sell
finale,the final
piaceva,liked
giochi,games
roma,Rome
case,homes
tribunale,court
ascoltate,listen
colpi,strokes
diverse,different
preoccupato,worried
ministro,minister
conti,accounts
turno,shift
nipote,grandson
innocente,innocent
jerry,jerry
venne,came
uccidermi,kill myself
bastardi,bastards
lasciamo,we leave
tiene,holds
principale,principal
breve,short
immagini,Images
chiedendo,asking
gira,turn
sbaglio,I err
contenta,content
dirle,tell her
muovetevi,move
amor,amor
mandare,send
controlla,check it out
evitare,to avoid
innamorato,fell in love
pantaloni,trousers
dito,finger
andarci,go there
sé,self
arrabbiato,angry
bottiglia,bottle
retro,back
laboratorio,laboratory
fumo,smoke
debole,weak
ricordare,remember
cerchiamo,LOOKING
accettare,to accept
nera,Black
coppia,couple
mantenere,to maintain
allarme,alarm
rimani,stay
ricco,rich
dovrò,I will have to
condizioni,conditions
convinto,convinced
stanca,tired
obiettivo,target
paziente,patient
morendo,dying
tetto,roof
mettiti,put up
roger,roger
tipi,types
avermi,me
scusatemi,apologize
distrutto,destroyed
arresto,arrest
seguire,to follow
pane,bread
cinese,Chinese
genio,genius
momenti,moments
dritto,straight
chiamami,Call me
giornali,newspapers
discorso,speech
spiaggia,Beach
bicchiere,glass
povera,poor
piani,plans
thomas,Thomas
improvvis,sudden
purtroppo,Unfortunately
mal,bad
saprei,Saprei
sarete,You will be
dita,fingers
giardino,garden
nemici,enemies
aiutato,helped
cattiva,bad
bei,bee
siate,be
inizia,it begins
propria,its own
malattia,illness
show,show
sabato,Saturday
direzione,direction
gioia,joy
provo,I try
brian,Brian
diamo,Let's give
creare,create
sedia,chair
andarmene,go away
stavano,they were
furgone,Van
svegliati,wake up
montagna,Mountain
grida,shout
ferita,wound
sexy,sexy
migliaia,thousands
vissuto,lived
ride,laugh
talento,talent
fianco,flank
fantasma,ghost
mattino,morning
fantastic,fantastic
vittoria,victory
sbagliata,wrong
sparo,shot
troviamo,we find
f,f
presento,present
spiegare,to explain
jane,jane
coglione,asshole
occupato,busy
gas,gas
mezza,halfway
lotta,struggle
furono,were
teatro,theater
preferito,favorite
gloria,glory
sentiment,sentent
smesso,stopped
entrate,revenue
immagine,image
incontrar,meet
suonare,to ring
francia,France
richard,Richard
uccello,bird
grossa,big
pensarci,think about it
cambia,change
vuoto,empty
sposata,married
important,important
esce,goes out
conosciam,knowing
sguardo,gaze
atto,act
entrata,entrance
polvere,dust
succederà,it will happen
huh,huh
dr,dr
grandioso,great
pioggia,rain
immaginar,imagine
portate,flow
spara,shoot
tedeschi,Germans
salta,jump
potevi,you could
miglia,miles
rossa,red
facevo,I did
corrente,current
q,q
ovest,West
attesa,wait
media,average
iscrew,ISCREW
cadavere,dead body
maiale,pig
potente,powerful
taglio,cut
scendi,get off
ladro,thief
amato,beloved
ordinato,tidy
zero,zero
succedere,happen
lasciarmi,leave
